ams,year,capacity_kbpd,capacity_pj_per_yr,step_change_note,source
Brunei,2024,175,371.7,Baseline Hengyi Phase 1,Hengyi press + EI SR 2024
Brunei,2025,175,371.7,,
Brunei,2030,175,371.7,No FID'd expansion,
Brunei,2040,175,371.7,,
Brunei,2050,175,371.7,,
Brunei,2060,175,371.7,,
Cambodia,2024,0,0,No refinery,IEA Oil Info 2024
Cambodia,2025,0,0,,
Cambodia,2030,0,0,,
Cambodia,2040,0,0,,
Cambodia,2050,0,0,,
Cambodia,2060,0,0,,
Indonesia,2024,1150,2442.6,Baseline Pertamina 6 refineries,Pertamina 2023 AR + IEA Oil Info 2024
Indonesia,2025,1150,2442.6,,
Indonesia,2026,1250,2654.9,RDMP Balikpapan Phase 1 +100 FID'd commissioning,Pertamina 2023 AR + Reuters Oct 2024
Indonesia,2030,1250,2654.9,No further FID'd expansions (Balongan/Cilacap/Tuban all announced-only),
Indonesia,2040,1250,2654.9,,
Indonesia,2050,1250,2654.9,,
Indonesia,2060,1250,2654.9,,
Laos,2024,0,0,No refinery,IEA Oil Info 2024
Laos,2025,0,0,,
Laos,2030,0,0,,
Laos,2040,0,0,,
Laos,2050,0,0,,
Laos,2060,0,0,,
Malaysia,2024,700,1486.8,Baseline Melaka 1+2 + Kertih + PIC Pengerang + Port Dickson,PETRONAS Activity Outlook 2024 + EI SR 2024
Malaysia,2025,700,1486.8,,
Malaysia,2030,700,1486.8,No FID'd CDU expansion (Pengerang 2 petrochem only),
Malaysia,2040,700,1486.8,,
Malaysia,2050,700,1486.8,,
Malaysia,2060,700,1486.8,,
Myanmar,2024,57,121.1,Nameplate — effective <20 kbbl/d post-2021 — apply Max Availability 35-40 percent,OPEC ASB 2024 + IEA Myanmar notes
Myanmar,2025,57,121.1,,
Myanmar,2030,57,121.1,No FID'd projects,
Myanmar,2040,57,121.1,,
Myanmar,2050,57,121.1,,
Myanmar,2060,57,121.1,,
Philippines,2024,180,382.3,Baseline Petron Bataan (Shell Tabangao retired 2020),Petron 2023 AR + Pilipinas Shell disclosures
Philippines,2025,180,382.3,,
Philippines,2030,180,382.3,No FID'd expansion,
Philippines,2040,180,382.3,,
Philippines,2050,180,382.3,,
Philippines,2060,180,382.3,,
Singapore,2024,1514,3215.7,Pre-Bukom transition — EI SR 2024 reporting basis,EI SR 2024 + OGJ Worldwide Refining Survey 2024
Singapore,2025,1293,2746.2,Post-Bukom CAPGC JV transition — net -221 kbbl/d,Shell press May 2024
Singapore,2030,1293,2746.2,No further FID'd changes,
Singapore,2040,1293,2746.2,,
Singapore,2050,1293,2746.2,,
Singapore,2060,1293,2746.2,,
Thailand,2024,1234,2621.0,Baseline Thai Oil + PTT GC + IRPC + ExxonMobil + Bangchak x2,OPEC ASB 2024 + PTT Thai Oil 2023 ARs
Thailand,2025,1234,2621.0,,
Thailand,2026,1359,2886.5,Thai Oil Clean Fuel Project +125 FID'd commissioning,Thai Oil 2023 AR + Reuters 2024
Thailand,2030,1359,2886.5,No further FID'd expansions,
Thailand,2040,1359,2886.5,,
Thailand,2050,1359,2886.5,,
Thailand,2060,1359,2886.5,,
Vietnam,2024,340,722.2,Baseline Dung Quat + Nghi Son,PVN 2023 AR + OGJ 2024
Vietnam,2025,340,722.2,,
Vietnam,2028,384,815.6,BSR Dung Quat +44 FID'd commissioning,BSR 2023 AR + Reuters
Vietnam,2030,384,815.6,No further FID'd projects,
Vietnam,2040,384,815.6,,
Vietnam,2050,384,815.6,,
Vietnam,2060,384,815.6,,
